,word,cnt,pos
579,wandering,2,noun
580,road,2,noun
581,begun,2,noun
582,searching,2,noun
583,catch,2,noun
584,繰り返し,2,noun
585,迷子,2,noun
586,roll,2,noun
587,held,2,noun
588,pillars,2,noun
589,sand,2,noun
590,missionaries,2,noun
591,jerusalem,2,noun
592,saint,2,noun
593,peter,2,noun
594,テディベア,2,noun
595,バッドエンド,2,noun
596,needle,2,noun
597,二つ,2,noun
598,tight,2,noun
599,finds,2,noun
600,bird,2,noun
601,さま,2,noun
602,knowi,2,noun
603,beg,2,noun
604,あした,2,noun
605,軌道,2,noun
606,radio,2,noun
607,クール,2,noun
608,イレース,2,noun
609,great,2,noun
610,hurtin,2,noun
611,ひと粒,2,noun
612,child,2,noun
613,deeply,2,noun
614,perfectly,2,noun
615,burned,2,noun
616,doubleedged,2,noun
617,ため息,2,noun
618,raise,2,noun
619,play,2,noun
620,内緒,2,noun
621,レコード,2,noun
622,songs,2,noun
623,wonderful,2,noun
624,あたし,2,noun
625,キラー,2,noun
626,木漏れ日,2,noun
627,今度,2,noun
628,moon,2,noun
629,river,2,noun
630,映画,2,noun
631,boy,2,noun
632,meets,2,noun
633,wrong,2,noun
634,standard,2,noun
635,ding,2,noun
636,dong,2,noun
637,monochrome,2,noun
638,モノクロ,2,noun
639,硝子,2,noun
640,earth,2,noun
641,とわ,2,noun
642,extraordinary,2,noun
643,adore,2,noun
644,freezing,2,noun
645,九月,2,noun
646,dry,2,noun
647,ココ,2,noun
648,高らか,2,noun
649,足取り,2,noun
650,darling,1,noun
651,bittersweet,1,noun
652,memories,1,noun
653,alwavs,1,noun
654,treats,1,noun
655,dreamed,1,noun
656,lovo,1,noun
657,可哀想,1,noun
658,目障り,1,noun
659,有象無象,1,noun
660,スパイス,1,noun
661,散々,1,noun
662,かい,1,noun
663,憎しみ,1,noun
664,愛情,1,noun
665,混沌,1,noun
666,惨憺,1,noun
667,heavenly,1,noun
668,願望,1,noun
669,悔恨,1,noun
670,きずな,1,noun
671,枯れ葉,1,noun
672,イチョウ,1,noun
673,並木,1,noun
674,あっという間,1,noun
675,目抜き通り,1,noun
676,一輪,1,noun
677,徒花,1,noun
678,渡り鳥,1,noun
679,夕べ,1,noun
680,待ち,1,noun
681,くり,1,noun
682,一片,1,noun
683,僅か,1,noun
684,境界,1,noun
685,後遺症,1,noun
686,存在,1,noun
687,不協和音,1,noun
688,静けさ,1,noun
689,透明,1,noun
690,狂気,1,noun
691,錯覚,1,noun
692,真冬,1,noun
693,アスファルト,1,noun
694,線路,1,noun
695,沿い,1,noun
696,ちぎれ雲,1,noun
697,街路,1,noun
698,amazing,1,noun
699,grace,1,noun
700,saved,1,noun
701,wretch,1,noun
702,blind,1,noun
703,物語,1,noun
704,仕合わせ,1,noun
705,呼吸,1,noun
706,目眩,1,noun
707,息継ぎ,1,noun
708,渇望,1,noun
709,天国,1,noun
710,幻想,1,noun
711,現実,1,noun
712,汚れ,1,noun
713,turn,1,noun
714,ナンバー,1,noun
715,outi,1,noun
716,difference,1,noun
717,desires,1,noun
718,request,1,noun
719,extreme,1,noun
720,dreamers,1,noun
721,brings,1,noun
722,fulfillment,1,noun
723,secret,1,noun
724,longing,1,noun
725,bolt,1,noun
726,steps,1,noun
727,雨宿り,1,noun
728,たび,1,noun
729,手招き,1,noun
730,わけ,1,noun
731,温度,1,noun
732,焦燥,1,noun
733,上手,1,noun
734,arrived,1,noun
735,ちの,1,noun
736,誰か,1,noun
737,今年,1,noun
738,pout,1,noun
739,恋人,1,noun
740,holiday,1,noun
741,スロープ,1,noun
742,バレリーナ,1,noun
743,横顔,1,noun
744,sleepless,1,noun
745,distance,1,noun
746,ループ,1,noun
747,refrain,1,noun
748,夢心地,1,noun
749,天使,1,noun
750,fairy,1,noun
751,tale,1,noun
752,nightingale,1,noun
753,木立,1,noun
754,若草,1,noun
755,裸足,1,noun
756,迷路,1,noun
757,花環,1,noun
758,愁い,1,noun
759,過ち,1,noun
760,水辺,1,noun
761,ブランコ,1,noun
762,子猫,1,noun
763,日暮れ,1,noun
764,夕飯,1,noun
765,肩車,1,noun
766,日曜,1,noun
767,トースト,1,noun
768,月曜日,1,noun
769,他愛,1,noun
770,流れ星,1,noun
771,キセキ,1,noun
772,fills,1,noun
773,mind,1,noun
774,anxiety,1,noun
775,attacking,1,noun
776,forgetting,1,noun
777,insomnia,1,noun
778,whispering,1,noun
779,comfort,1,noun
780,zone,1,noun
781,open,1,noun
782,door,1,noun
783,opened,1,noun
784,moving,1,noun
785,lapping,1,noun
786,energy,1,noun
787,surrounded,1,noun
788,spent,1,noun
789,pass,1,noun
790,gold,1,noun
791,clue,1,noun
792,lasts,1,noun
793,stuck,1,noun
794,replace,1,noun
795,feelings,1,noun
796,emotion,1,noun
797,overflowing,1,noun
798,sync,1,noun
799,touching,1,noun
800,soft,1,noun
801,soaring,1,noun
802,pulling,1,noun
803,softly,1,noun
804,burning,1,noun
805,flames,1,noun
806,promises,1,noun
807,meant,1,noun
808,anytime,1,noun
809,create,1,noun
810,image,1,noun
811,infinity,1,noun
812,path,1,noun
813,シワ,1,noun
814,拍手,1,noun
815,歓声,1,noun
816,メイン,1,noun
817,ディッシュ,1,noun
818,デザート,1,noun
819,フルコース,1,noun
820,特別,1,noun
821,絶対,1,noun
822,最悪,1,noun
823,片想い,1,noun
824,すずろ,1,noun
825,夢現,1,noun
826,面影,1,noun
827,流離,1,noun
828,つなぎ,1,noun
829,隠れ家,1,noun
830,とまどい,1,noun
831,行方,1,noun
832,あて,1,noun
833,january,1,noun
834,fine,1,noun
835,february,1,noun
836,valentine,1,noun
837,aisle,1,noun
838,april,1,noun
839,easter,1,noun
840,bunny,1,noun
841,smile,1,noun
842,dad,1,noun
843,june,1,noun
844,theyll,1,noun
845,junior,1,noun
846,prom,1,noun
847,july,1,noun
848,firecracker,1,noun
849,aglow,1,noun
850,august,1,noun
851,beach,1,noun
852,steal,1,noun
853,september,1,noun
854,candles,1,noun
855,sixteen,1,noun
856,october,1,noun
857,romeo,1,noun
858,juliet,1,noun
859,halloween,1,noun
860,november,1,noun
861,belong,1,noun
862,december,1,noun
863,neath,1,noun
864,christmas,1,noun
865,tree,1,noun
866,lov,1,noun
867,空気,1,noun
868,朝焼け,1,noun
869,下弦,1,noun
870,夜光,1,noun
871,沈み,1,noun
872,騒ぎ,1,noun
873,葉音,1,noun
874,不変,1,noun
875,十字,1,noun
876,ズルイ,1,noun
877,ヒドイ,1,noun
878,stare,1,noun
879,begging,1,noun
880,row,1,noun
881,funny,1,noun
882,pride,1,noun
883,blame,1,noun
884,talk,1,noun
885,friends,1,noun
886,quietly,1,noun
887,tennis,1,noun
888,shoes,1,noun
889,buy,1,noun
890,dress,1,noun
891,impress,1,noun
892,thought,1,noun
893,skips,1,noun
894,rig,1,noun
895,ht,1,noun
896,foolish,1,noun
897,playing,1,noun
898,sprung,1,noun
899,worse,1,noun
900,slip,1,noun
901,litte,1,noun
902,caught,1,noun
903,pain,1,noun
904,keeping,1,noun
905,grounded,1,noun
906,reality,1,noun
907,slipping,1,noun
908,crumbles,1,noun
909,jaded,1,noun
910,ページ,1,noun
911,こぼれ,1,noun
912,すがる,1,noun
913,果実,1,noun
914,かけ,1,noun
915,電車,1,noun
916,衝動,1,noun
917,残酷,1,noun
918,ベランダ,1,noun
919,手紙,1,noun
920,燦燦,1,noun
921,漏れ,1,noun
922,ステップ,1,noun
923,それぞれ,1,noun
924,smiling,1,noun
925,カメレオン,1,noun
926,逃避行,1,noun
927,スピード,1,noun
928,挫折,1,noun
929,真実,1,noun
930,輪郭,1,noun
931,りす,1,noun
932,るり,1,noun
933,宛て,1,noun
934,afraid,1,noun
935,window,1,noun
936,circles,1,noun
937,wouldnt,1,noun
938,trade,1,noun
939,素直,1,noun
940,本当,1,noun
941,ザラ,1,noun
942,耳鳴り,1,noun
943,真意,1,noun
944,リズム,1,noun
945,無垢,1,noun
946,ブレ,1,noun
947,星空,1,noun
948,無邪気,1,noun
949,必要,1,noun
950,メロディ,1,noun
951,空想,1,noun
952,交差点,1,noun
953,大粒,1,noun
954,矛先,1,noun
955,スピカ,1,noun
956,special,1,noun
957,tickets,1,noun
958,glum,1,noun
959,nightmare,1,noun
960,mere,1,noun
961,stoned,1,noun
962,control,1,noun
963,kill,1,noun
964,rooted,1,noun
965,anger,1,noun
966,mad,1,noun
967,pains,1,noun
968,blood,1,noun
969,sail,1,noun
970,shining,1,noun
971,lighthouse,1,noun
972,sailing,1,noun
973,戸惑い,1,noun
974,オール,1,noun
975,ギュ,1,noun
976,キュン,1,noun
977,おかげ,1,noun
978,パパ,1,noun
979,不思議,1,noun
980,テレパシー,1,noun
981,faster,1,noun
982,prouder,1,noun
983,frimer,1,noun
984,harder,1,noun
985,brighter,1,noun
986,braver,1,noun
987,loser,1,noun
988,longer,1,noun
989,faker,1,noun
990,ruler,1,noun
991,numb,1,noun
992,ベッド,1,noun
993,頭上,1,noun
994,あざやか,1,noun
995,未知,1,noun
996,プレパラート,1,noun
997,海鳥,1,noun
998,引き,1,noun
999,真ん中,1,noun
1000,絶景,1,noun
1001,天井,1,noun
1002,砂漠,1,noun
1003,絵本,1,noun
1004,笑い,1,noun
1005,reach,1,noun
1006,pull,1,noun
1007,dreams,1,noun
1008,queen,1,noun
1009,kingdom,1,noun
1010,wishing,1,noun
1011,ポッケ,1,noun
1012,遥か,1,noun
1013,簡単,1,noun
1014,不格好,1,noun
1015,無数,1,noun
1016,お互い,1,noun
1017,突風,1,noun
1018,朝陽,1,noun
1019,いらっしゃい,1,noun
1020,お菓子,1,noun
1021,予定,1,noun
1022,得意,1,noun
1023,喜色,1,noun
1024,満面,1,noun
1025,びしょぬれの,1,noun
1026,コントロール,1,noun
1027,大声,1,noun
1028,しぶき,1,noun
1029,狭間,1,noun
1030,夜光虫,1,noun
1031,額縁,1,noun
1032,まぶた,1,noun
1033,ウソ,1,noun
1034,つま,1,noun
1035,さき,1,noun
1036,真っ白,1,noun
1037,譜面,1,noun
1038,ひとつひとつ,1,noun
1039,torn,1,noun
1040,自由,1,noun
1041,旅路,1,noun
1042,ハレーション,1,noun
1043,坂道,1,noun
1044,南風,1,noun
1045,芝生,1,noun
1046,shaken,1,noun
1047,beautiful,1,noun
1048,vanish,1,noun
1049,手探り,1,noun
1050,hight,1,noun
1051,日射し,1,noun
1052,アサルム,1,noun
1053,ヒグラシ,1,noun
1054,笑み,1,noun
1055,退屈,1,noun
1056,奇妙,1,noun
1057,箱庭,1,noun
1058,水底,1,noun
1059,ぎざぎざ,1,noun
1060,こころ,1,noun
1061,温か,1,noun
1062,グランド,1,noun
1063,隅っこ,1,noun
1064,教科書,1,noun
1065,落書き,1,noun
1066,思い込み,1,noun
1067,たて,1,noun
1068,洋楽,1,noun
1069,春風,1,noun
1070,朝一,1,noun
1071,seas,1,noun
1072,rise,1,noun
1073,morning,1,noun
1074,sweep,1,noun
1075,streets,1,noun
1076,dice,1,noun
1077,enemys,1,noun
1078,listen,1,noun
1079,crowd,1,noun
1080,minute,1,noun
1081,key,1,noun
1082,walls,1,noun
1083,closed,1,noun
1084,discovered,1,noun
1085,castles,1,noun
1086,salt,1,noun
1087,jerualem,1,noun
1088,wicked,1,noun
1089,wild,1,noun
1090,wind,1,noun
1091,blew,1,noun
1092,shattered,1,noun
1093,windows,1,noun
1094,drums,1,noun
1095,people,1,noun
1096,revolutionaries,1,noun
1097,head,1,noun
1098,silver,1,noun
1099,plate,1,noun
1100,puppet,1,noun
1101,lonely,1,noun
1102,string,1,noun
1103,mis,1,noun
1104,sionaries,1,noun
1105,ohh,1,noun
1106,写真,1,noun
1107,フレーム,1,noun
1108,花瓶,1,noun
1109,ネイビー,1,noun
1110,コート,1,noun
1111,ドア,1,noun
1112,ハート,1,noun
1113,引き出し,1,noun
1114,意向,1,noun
1115,一部,1,noun
1116,歌詞,1,noun
1117,掲載,1,noun
1118,割愛,1,noun
1119,nights,1,noun
1120,nothings,1,noun
1121,sheets,1,noun
1122,wondering,1,noun
1123,意地っぱり,1,noun
1124,どぎまぎ,1,noun
1125,大半,1,noun
1126,すれ違い,1,noun
1127,憂さ,1,noun
1128,話し方,1,noun
1129,ステージ,1,noun
1130,真っ赤,1,noun
1131,fly,1,noun
1132,鳴き,1,noun
1133,dolulu,1,noun
1134,misery,1,noun
1135,kissed,1,noun
1136,左手,1,noun
1137,崩れ,1,noun
1138,独り,1,noun
1139,終末,1,noun
1140,わり,1,noun
1141,虚ろ,1,noun
1142,普遍,1,noun
1143,螺旋,1,noun
1144,此処,1,noun
1145,ヘルツ,1,noun
1146,パスワード,1,noun
1147,ダイヤル,1,noun
1148,アジャスト,1,noun
1149,波長,1,noun
1150,リライト,1,noun
1151,ジングル,1,noun
1152,憂鬱,1,noun
1153,軽快,1,noun
1154,単色,1,noun
1155,メイク,1,noun
1156,ハイ,1,noun
1157,サウンド,1,noun
1158,エネルギー,1,noun
1159,揺れ,1,noun
1160,amplitude,1,noun
1161,frequency,1,noun
1162,鼓膜,1,noun
1163,pops,1,noun
1164,rock,1,noun
1165,fusion,1,noun
1166,jazz,1,noun
1167,rampb,1,noun
1168,country,1,noun
1169,dj,1,noun
1170,ナイス,1,noun
1171,チョイス,1,noun
1172,ストレス,1,noun
1173,チー,1,noun
1174,イン,1,noun
1175,トロ,1,noun
1176,単調,1,noun
1177,グレード,1,noun
1178,背景,1,noun
1179,邪魔,1,noun
1180,オールイレース,1,noun
1181,ヨワネ,1,noun
1182,ボリューム,1,noun
1183,そん,1,noun
1184,チューニング,1,noun
1185,ワン,1,noun
1186,woobaby,1,noun
1187,treat,1,noun
1188,sad,1,noun
1189,missing,1,noun
1190,arms,1,noun
1191,separate,1,noun
1192,warm,1,noun
1193,embrace,1,noun
1194,loneliness,1,noun
1195,平気,1,noun
1196,ゴメンネ,1,noun
1197,ツライ,1,noun
1198,バイバイ,1,noun
1199,今さら,1,noun
1200,無理,1,noun
1201,繊細,1,noun
1202,wearing,1,noun
1203,haze,1,noun
1204,imaginary,1,noun
1205,resigned,1,noun
1206,dive,1,noun
1207,guessing,1,noun
1208,craze,1,noun
1209,drive,1,noun
1210,confusing,1,noun
1211,faith,1,noun
1212,oblivious,1,noun
1213,freedom,1,noun
1214,slowly,1,noun
1215,cutting,1,noun
1216,deepest,1,noun
1217,violently,1,noun
1218,screaming,1,noun
1219,trouble,1,noun
1220,doubt,1,noun
1221,eter,1,noun
1222,nal,1,noun
1223,知らん顔,1,noun
1224,texas,1,noun
1225,fold,1,noun
1226,hit,1,noun
1227,luck,1,noun
1228,intuition,1,noun
1229,cards,1,noun
1230,spades,1,noun
1231,hooked,1,noun
1232,pair,1,noun
1233,gambling,1,noun
1234,russian,1,noun
1235,roulette,1,noun
1236,gun,1,noun
1237,rough,1,noun
1238,isnt,1,noun
1239,ead,1,noun
1240,kiss,1,noun
1241,hug,1,noun
1242,bluffin,1,noun
1243,muffin,1,noun
1244,lying,1,noun
1245,stunnin,1,noun
1246,lovegluegunning,1,noun
1247,chick,1,noun
1248,casino,1,noun
1249,bank,1,noun
1250,pay,1,noun
1251,check,1,noun
1252,marvelous,1,noun
1253,ゆり,1,noun
1254,かご,1,noun
1255,寝顔,1,noun
1256,ぶり,1,noun
1257,昨夜,1,noun
1258,ロープ,1,noun
1259,決意,1,noun
1260,行く先,1,noun
1261,ポラリス,1,noun
1262,サーカス,1,noun
1263,シンプル,1,noun
1264,sunshine,1,noun
